,ETagGantryID,LinkID,LocationType,PositionLon,PositionLat,RoadID,RoadName,RoadClass,RoadDirection,LocationMile,RoadSectionStart,RoadSectionEnd
153,03F1860N,0000300118600B,4,120.54824,24.177832,000030,國道3號,0,N,186K+000,和美,龍井
154,03F1395N,0000300113900K,4,120.73325,24.531124,000030,國道3號,0,N,139K+500,通霄,西湖服務區
155,03F3211S,0000300032120D,4,120.39025,23.279282,000030,國道3號,0,S,321K+100,東山服務區,柳營
156,01F2866S,0000100028700D,4,120.298706,23.320993,000010,國道1號,0,S,286K+600,新營服務區,新營
157,01F1621S,0000100016200B,4,120.69733,24.301186,000010,國道1號,0,S,162K+100,后里,臺中系統
158,03F2985N,0000300129850Q,4,120.4812,23.442486,000030,國道3號,0,N,298K+500,水上系統,中埔
159,03F3101N,0000300131000D,4,120.436356,23.361254,000030,國道3號,0,N,310K+100,白河,水上系統
160,03F3670S,0000300036700D,4,120.35477,22.90197,000030,國道3號,0,S,367K+000,關廟服務區,田寮
161,01F1960S,0000100019600N,4,120.52785,24.085623,000010,國道1號,0,S,196K+000,彰化系統,彰化
162,01H0200N,00001A0102000A,4,121.562515,25.070993,00001A,國道1號汐止五股高架道路,0,N,20K+000,下塔悠出口匝道,堤頂
163,01H0333N,00001B0103310F,4,121.435135,25.068148,00001B,國道1號五股楊梅高架道路,0,N,33K+300,高公局,五股(高架)
164,01F0492S,0000100004900H,4,121.29553,25.036482,000010,國道1號,0,S,49K+200,桃園(49A),桃園(49B)
165,03F2985S,0000300029840Q,4,120.4812,23.442486,000030,國道3號,0,S,298K+500,中埔,水上系統
166,03F2840S,0000300028400Q,4,120.50506,23.558125,000030,國道3號,0,S,284K+000,梅山,竹崎(縣道166線)
167,03F0150N,0000301105010F,4,121.62479,25.042389,000030,國道3號,0,N,15K+000,南港系統&南深路出口匝道,南港
168,01F3696N,0000100137000E,4,120.33961,22.609428,000010,國道1號,0,N,369K+600,五甲系統,高雄(中正、三多路)
169,01F1621N,0000100116200B,4,120.69733,24.301186,000010,國道1號,0,N,162K+100,臺中系統,后里
170,01F1960N,0000100119600N,4,120.52785,24.085623,000010,國道1號,0,N,196K+000,彰化,彰化系統
171,03F2840N,0000300128400Q,4,120.50506,23.558125,000030,國道3號,0,N,284K+000,竹崎(縣道166線),梅山
172,01F0492N,0000100104900H,4,121.29553,25.036482,000010,國道1號,0,N,49K+200,桃園(49B),桃園(49A)
173,01F0557N,0000100105540H,4,121.24772,24.998583,000010,國道1號,0,N,55K+700,內壢,中壢服務區
174,01F0339S,0000100003380F,4,121.428764,25.06824,000010,國道1號,0,S,33K+900,五股,高公局
175,01F0557S,0000100005550H,4,121.24772,24.998583,000010,國道1號,0,S,55K+700,中壢服務區,內壢
176,03F3101S,0000300031000D,4,120.436356,23.361254,000030,國道3號,0,S,310K+100,水上系統,白河
177,03F3670N,0000300136700D,4,120.35477,22.90197,000030,國道3號,0,N,367K+000,田寮,關廟服務區
178,03F0559S,0000300005520H,4,121.312454,24.930225,000030,國道3號,0,S,55K+900,鶯歌系統,大溪
179,03F0559N,0000300105520H,4,121.312454,24.930225,000030,國道3號,0,N,55K+900,大溪,鶯歌系統
180,03F4168S,0000300041700T,4,120.52456,22.557186,000030,國道3號,0,S,416K+800,竹田系統,崁頂
181,01F0681N,0000100106800H,4,121.16759,24.917967,000010,國道1號,0,N,68K+100,楊梅,幼獅
182,03F4168N,0000300141700T,4,120.52476,22.557407,000030,國道3號,0,N,416K+800,崁頂,竹田系統
183,01F0584N,0000100105800H,4,121.22894,24.980558,000010,國道1號,0,N,58K+400,中壢,內壢
184,01F0681S,0000100006800H,4,121.16759,24.917967,000010,國道1號,0,S,68K+100,幼獅,楊梅
185,01F0233N,0000101111050A,4,121.5307,25.073019,000010,國道1號,0,N,23K+300,臺北,圓山
186,05FR143N,0000501105010G,4,121.782364,24.733961,000050,國道5號,0,N,14K+300,宜蘭(壯圍),宜蘭(四城、大福)
187,01F3525N,0000100135300E,4,120.3308,22.761671,000010,國道1號,0,N,352K+500,楠梓(旗楠路),岡山
